Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,11,28,2.54545454545455,12,50,4.16666666666667,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,5,1,5,5,1,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,12,2.4,5,12,2.4,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,21,4.2,5,24,4.8,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,5,1,5,83,16.6,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,0,0,NA,0,0,NA,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,13,2.6,5,32,6.4,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,0,0,5,18,3.6,2020,Q4
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,18,3.6,5,18,3.6,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,0,17,NA,0,20,NA,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,15,3,5,21,4.2,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,5,1,5,8,1.6,2022,Q1
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,5,24,4.8,5,24,4.8,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,90 years and over,0,43,NA,0,43,NA,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,14,16,1.14285714285714,35,44,1.25714285714286,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,10,7,0.7,20,25,1.25,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,16,16,1,20,26,1.3,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,15,9,0.6,33,36,1.09090909090909,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,7,1.4,21,25,1.19047619047619,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,17,29,1.70588235294118,30,43,1.43333333333333,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,15,14,0.933333333333333,29,30,1.03448275862069,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,17,21,1.23529411764706,39,51,1.30769230769231,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,10,17,1.7,23,33,1.43478260869565,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,11,14,1.27272727272727,21,26,1.23809523809524,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,5,1,5,5,1,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,10,10,1,10,10,1,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,10,17,1.7,12,17,1.41666666666667,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,10,10,1,10,13,1.3,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,7,1.4,12,13,1.08333333333333,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,5,1,5,8,1.6,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,7,1.4,10,10,1,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,11,11,1,15,17,1.13333333333333,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,5,1,10,10,1,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,5,1,17,16,0.941176470588235,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,0-9 years,5,5,1,24,24,1,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,13,2.6,10,16,1.6,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,11,13,1.18181818181818,14,27,1.92857142857143,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,15,13,0.866666666666667,20,20,1,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,11,7,0.636363636363636,13,12,0.923076923076923,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,13,18,1.38461538461538,18,26,1.44444444444444,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,7,1.4,12,12,1,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,10,17,1.7,11,53,4.81818181818182,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,8,1.6,10,15,1.5,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,7,1.4,12,13,1.08333333333333,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,5,5,1,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,0,5,NA,0,5,NA,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,5,5,1,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,0,0,NA,0,0,NA,2020,Q4
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,0,0,5,5,1,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,0,0,NA,0,0,NA,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,5,10,2,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,5,5,1,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,10,6,0.6,10,9,0.9,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,5,15,3,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,10-19 years,5,5,1,10,7,0.7,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,19,20,1.05263157894737,20,22,1.1,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,20,44,2.2,20,63,3.15,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,20,23,1.15,21,30,1.42857142857143,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,19,25,1.31578947368421,19,35,1.84210526315789,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,20,34,1.7,21,59,2.80952380952381,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,21,22,1.04761904761905,21,39,1.85714285714286,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,16,55,3.4375,16,87,5.4375,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,14,15,1.07142857142857,14,17,1.21428571428571,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,17,19,1.11764705882353,17,20,1.17647058823529,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,18,16,0.888888888888889,18,16,0.888888888888889,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,5,5,1,5,5,1,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,14,31,2.21428571428571,15,32,2.13333333333333,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,10,10,1,10,10,1,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,0,0,NA,0,0,NA,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,10,10,1,10,12,1.2,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,5,10,2,5,11,2.2,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,10,6,0.6,10,6,0.6,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,10,13,1.3,10,13,1.3,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,5,21,4.2,5,21,4.2,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,14,20,1.42857142857143,14,20,1.42857142857143,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,20-29 years,10,47,4.7,10,47,4.7,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,23,46,2,23,83,3.60869565217391,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,21,34,1.61904761904762,22,47,2.13636363636364,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,23,42,1.82608695652174,23,58,2.52173913043478,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,30,61,2.03333333333333,31,89,2.87096774193548,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,28,59,2.10714285714286,28,65,2.32142857142857,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,30,58,1.93333333333333,29,60,2.06896551724138,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,30,88,2.93333333333333,31,99,3.19354838709677,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,27,47,1.74074074074074,29,57,1.96551724137931,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,17,25,1.47058823529412,18,50,2.77777777777778,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,20,30,1.5,20,34,1.7,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,5,1,5,6,1.2,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,10,8,0.8,10,8,0.8,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,5,1,5,5,1,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,12,2.4,5,13,2.6,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,10,13,1.3,10,19,1.9,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,5,1,5,5,1,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,5,1,5,5,1,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,5,9,1.8,5,9,1.8,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,13,26,2,13,60,4.61538461538461,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,11,12,1.09090909090909,11,12,1.09090909090909,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,30-39 years,10,59,5.9,10,59,5.9,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,36,148,4.11111111111111,40,165,4.125,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,39,72,1.84615384615385,39,110,2.82051282051282,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,42,99,2.35714285714286,45,135,3,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,52,100,1.92307692307692,52,104,2,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,50,170,3.4,52,201,3.86538461538462,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,50,100,2,51,121,2.37254901960784,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,27,36,1.33333333333333,30,59,1.96666666666667,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,41,62,1.51219512195122,43,69,1.6046511627907,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,38,93,2.44736842105263,39,96,2.46153846153846,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,36,79,2.19444444444444,36,87,2.41666666666667,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,5,18,3.6,5,17,3.4,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,26,83,3.19230769230769,29,131,4.51724137931035,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,18,30,1.66666666666667,19,44,2.31578947368421,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,5,5,1,10,56,5.6,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,17,101,5.94117647058824,18,104,5.77777777777778,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,14,33,2.35714285714286,16,40,2.5,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,26,186,7.15384615384615,26,200,7.69230769230769,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,22,137,6.22727272727273,25,175,7,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,16,53,3.3125,17,59,3.47058823529412,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,24,18,0.75,24,24,1,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,40-49 years,27,92,3.40740740740741,30,122,4.06666666666667,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,101,227,2.24752475247525,110,392,3.56363636363636,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,96,224,2.33333333333333,98,326,3.3265306122449,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,87,278,3.19540229885057,91,347,3.81318681318681,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,99,276,2.78787878787879,102,259,2.53921568627451,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,125,338,2.704,131,576,4.3969465648855,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,133,252,1.89473684210526,134,373,2.78358208955224,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,108,241,2.23148148148148,110,446,4.05454545454545,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,94,366,3.8936170212766,97,429,4.42268041237113,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,108,268,2.48148148148148,109,354,3.24770642201835,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,87,198,2.27586206896552,91,604,6.63736263736264,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,37,54,1.45945945945946,36,55,1.52777777777778,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,56,113,2.01785714285714,57,170,2.98245614035088,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,55,90,1.63636363636364,56,90,1.60714285714286,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,31,215,6.93548387096774,32,288,9,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,64,108,1.6875,68,131,1.92647058823529,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,55,179,3.25454545454545,60,233,3.88333333333333,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,77,299,3.88311688311688,79,382,4.83544303797468,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,51,159,3.11764705882353,49,194,3.95918367346939,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,82,243,2.96341463414634,86,345,4.01162790697674,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,67,119,1.77611940298507,71,157,2.2112676056338,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,50-59 years,86,254,2.95348837209302,86,278,3.23255813953488,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,192,611,3.18229166666667,196,718,3.66326530612245,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,178,624,3.50561797752809,180,806,4.47777777777778,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,164,452,2.75609756097561,172,650,3.77906976744186,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,161,437,2.71428571428571,168,623,3.70833333333333,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,203,558,2.7487684729064,207,774,3.73913043478261,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,217,518,2.38709677419355,222,813,3.66216216216216,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,205,505,2.46341463414634,207,716,3.45893719806763,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,188,605,3.21808510638298,194,794,4.09278350515464,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,191,489,2.56020942408377,196,618,3.1530612244898,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,150,386,2.57333333333333,159,517,3.25157232704403,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,47,164,3.48936170212766,46,192,4.17391304347826,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,103,290,2.81553398058252,109,455,4.1743119266055,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,97,257,2.64948453608247,102,373,3.65686274509804,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,57,212,3.71929824561404,60,419,6.98333333333333,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,124,394,3.17741935483871,129,502,3.89147286821705,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,90,281,3.12222222222222,97,466,4.80412371134021,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,96,211,2.19791666666667,99,391,3.94949494949495,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,100,192,1.92,107,288,2.69158878504673,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,108,268,2.48148148148148,113,622,5.50442477876106,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,118,325,2.75423728813559,119,465,3.90756302521008,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,60-69 years,117,269,2.2991452991453,135,439,3.25185185185185,2022,Q4
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,228,708,3.10526315789474,231,949,4.10822510822511,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,181,583,3.22099447513812,186,799,4.29569892473118,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,204,557,2.73039215686275,210,1082,5.15238095238095,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,185,591,3.19459459459459,189,1062,5.61904761904762,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,217,638,2.94009216589862,225,1027,4.56444444444444,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,215,486,2.26046511627907,215,669,3.11162790697674,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,261,671,2.57088122605364,269,940,3.49442379182156,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,194,487,2.51030927835052,198,610,3.08080808080808,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,178,410,2.30337078651685,183,602,3.2896174863388,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,175,458,2.61714285714286,178,644,3.61797752808989,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,52,166,3.19230769230769,59,245,4.15254237288136,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Male,70-79 years,117,390,3.33333333333333,119,429,3.60504201680672,2020,Q3
